siteid,latitude_x,longitude_x,target_siteid,tos_field_ph,shire,stationCode,stationName,latitude_y,longitude_y,dateTime,rainfall.yearToDate
2007190693,-27.395,114.137,TS0634,7.0,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0
2007190693,-27.395,114.137,TS0634,7.0,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0
2007190693,-27.395,114.137,TS0634,7.0,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4
2007190984,-27.532,115.218,TS0515,7.5,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6
2007190984,-27.532,115.218,TS0515,7.5,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0
2007190984,-27.532,115.218,TS0515,7.5,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0
2007190984,-27.532,115.218,TS0515,7.5,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0
2007190984,-27.532,115.218,TS0515,7.5,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0
2007190984,-27.532,115.218,TS0515,7.5,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4
2007191316,-28.212,114.32,TS0425,5.0,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6
2007191316,-28.212,114.32,TS0425,5.0,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0
2007191316,-28.212,114.32,TS0425,5.0,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0
2007191316,-28.212,114.32,TS0425,5.0,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0
2007191316,-28.212,114.32,TS0425,5.0,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0
2007191316,-28.212,114.32,TS0425,5.0,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4
2007190052,-34.072,119.55,TS0620,6.0,ravensthorpe,CS002,Cascade NW,-33.3588,120.71417,2022-02-22,27.0
2007190052,-34.072,119.55,TS0620,6.0,ravensthorpe,JP001,Jerdacuttup,-33.77361,120.45667,2022-02-22,31.2
2007190052,-34.072,119.55,TS0620,6.0,ravensthorpe,MD001,Mount Madden East,-33.183297,120.08432,2022-02-22,18.6
2007190052,-34.072,119.55,TS0620,6.0,ravensthorpe,MP002,Munglinup,-33.78222,120.813056,2022-02-22,28.0
2007190052,-34.072,119.55,TS0620,6.0,ravensthorpe,RA,Ravensthorpe,-33.435863,119.730175,2022-02-22,13.0
2007190052,-34.072,119.55,TS0620,6.0,ravensthorpe,RA002,Ravensthorpe Dam #4,-33.636636,120.054372,2022-02-22,26.8
2007190052,-34.072,119.55,TS0620,6.0,ravensthorpe,WR001,West River,-33.687344,119.64875,2022-02-22,25.8
2007190302,-33.888,119.864,TS0618,6.5,ravensthorpe,CS002,Cascade NW,-33.3588,120.71417,2022-02-22,27.0
2007190302,-33.888,119.864,TS0618,6.5,ravensthorpe,JP001,Jerdacuttup,-33.77361,120.45667,2022-02-22,31.2
2007190302,-33.888,119.864,TS0618,6.5,ravensthorpe,MD001,Mount Madden East,-33.183297,120.08432,2022-02-22,18.6
2007190302,-33.888,119.864,TS0618,6.5,ravensthorpe,MP002,Munglinup,-33.78222,120.813056,2022-02-22,28.0
2007190302,-33.888,119.864,TS0618,6.5,ravensthorpe,RA,Ravensthorpe,-33.435863,119.730175,2022-02-22,13.0
2007190302,-33.888,119.864,TS0618,6.5,ravensthorpe,RA002,Ravensthorpe Dam #4,-33.636636,120.054372,2022-02-22,26.8
2007190302,-33.888,119.864,TS0618,6.5,ravensthorpe,WR001,West River,-33.687344,119.64875,2022-02-22,25.8
2007190421,-33.772,119.957,TS0611,7.5,ravensthorpe,CS002,Cascade NW,-33.3588,120.71417,2022-02-22,27.0
2007190421,-33.772,119.957,TS0611,7.5,ravensthorpe,JP001,Jerdacuttup,-33.77361,120.45667,2022-02-22,31.2
2007190421,-33.772,119.957,TS0611,7.5,ravensthorpe,MD001,Mount Madden East,-33.183297,120.08432,2022-02-22,18.6
2007190421,-33.772,119.957,TS0611,7.5,ravensthorpe,MP002,Munglinup,-33.78222,120.813056,2022-02-22,28.0
2007190421,-33.772,119.957,TS0611,7.5,ravensthorpe,RA,Ravensthorpe,-33.435863,119.730175,2022-02-22,13.0
2007190421,-33.772,119.957,TS0611,7.5,ravensthorpe,RA002,Ravensthorpe Dam #4,-33.636636,120.054372,2022-02-22,26.8
2007190421,-33.772,119.957,TS0611,7.5,ravensthorpe,WR001,West River,-33.687344,119.64875,2022-02-22,25.8
2007191088,-33.876,120.227,TS0619,6.5,ravensthorpe,CS002,Cascade NW,-33.3588,120.71417,2022-02-22,27.0
2007191088,-33.876,120.227,TS0619,6.5,ravensthorpe,JP001,Jerdacuttup,-33.77361,120.45667,2022-02-22,31.2
2007191088,-33.876,120.227,TS0619,6.5,ravensthorpe,MD001,Mount Madden East,-33.183297,120.08432,2022-02-22,18.6
2007191088,-33.876,120.227,TS0619,6.5,ravensthorpe,MP002,Munglinup,-33.78222,120.813056,2022-02-22,28.0
2007191088,-33.876,120.227,TS0619,6.5,ravensthorpe,RA,Ravensthorpe,-33.435863,119.730175,2022-02-22,13.0
2007191088,-33.876,120.227,TS0619,6.5,ravensthorpe,RA002,Ravensthorpe Dam #4,-33.636636,120.054372,2022-02-22,26.8
2007191088,-33.876,120.227,TS0619,6.5,ravensthorpe,WR001,West River,-33.687344,119.64875,2022-02-22,25.8
2007190058,-34.935,117.473,TS0627,5.0,albany,KO002,Kojaneerup South,-34.575486,118.260501,2022-02-22,5.2
2007190058,-34.935,117.473,TS0627,5.0,albany,MP,Manypeaks,-34.779833,118.217167,2022-02-22,11.2
2007190058,-34.935,117.473,TS0627,5.0,albany,WE,Wellstead,-34.489212,118.619261,2022-02-22,15.8
2007190557,-34.888,118.001,TS0630,5.5,albany,KO002,Kojaneerup South,-34.575486,118.260501,2022-02-22,5.2
2007190557,-34.888,118.001,TS0630,5.5,albany,MP,Manypeaks,-34.779833,118.217167,2022-02-22,11.2
2007190557,-34.888,118.001,TS0630,5.5,albany,WE,Wellstead,-34.489212,118.619261,2022-02-22,15.8
2007191076,-34.65,118.626,TS0626,6.5,albany,KO002,Kojaneerup South,-34.575486,118.260501,2022-02-22,5.2
2007191076,-34.65,118.626,TS0626,6.5,albany,MP,Manypeaks,-34.779833,118.217167,2022-02-22,11.2
2007191076,-34.65,118.626,TS0626,6.5,albany,WE,Wellstead,-34.489212,118.619261,2022-02-22,15.8
2007191144,-34.401,118.726,TS0623,6.0,albany,KO002,Kojaneerup South,-34.575486,118.260501,2022-02-22,5.2
2007191144,-34.401,118.726,TS0623,6.0,albany,MP,Manypeaks,-34.779833,118.217167,2022-02-22,11.2
2007191144,-34.401,118.726,TS0623,6.0,albany,WE,Wellstead,-34.489212,118.619261,2022-02-22,15.8
2007190067,-31.234,121.962,TS0561,6.0,coolgardie,BTSD,DFES-D Boorabbin,-31.2143,120.2593,2022-02-22,9.2
2007190664,-31.672,121.62,TS0569,7.0,coolgardie,BTSD,DFES-D Boorabbin,-31.2143,120.2593,2022-02-22,9.2
2007190717,-30.963,121.292,TS0549,8.0,coolgardie,BTSD,DFES-D Boorabbin,-31.2143,120.2593,2022-02-22,9.2
2007190901,-31.351,120.209,TS0564,8.0,coolgardie,BTSD,DFES-D Boorabbin,-31.2143,120.2593,2022-02-22,9.2
2007191121,-31.234,121.962,TS0561,6.5,coolgardie,BTSD,DFES-D Boorabbin,-31.2143,120.2593,2022-02-22,9.2
2007190071,-32.052,118.166,TS0586,6.0,bruce rock,SH002,Babakin,-32.12548,118.00406,2022-02-22,1.0
