SITEID,LATITUDE,LONGITUDE,DUPLICATE,TARGET_SITEID,TOS_FIELD_PH,BOS_FIELD_PH
2007190263,-32.438,142.528,,TS1256,9,9
2007190264,-20.993,146.295,,TS0977,6,6.5
2007190265,-19.641,136.05,,TS0757,8,9.5
2007190266,-29.172,136.326,2007191458,TS0069,10,10
2007190267,-20.951,117.441,,TS0283,8.5,9
2007190268,-35.349,146.284,,TS1303,5.5,5
2007190269,-22.859,131.552,,TS0805,6.5,7
2007190271,-29.33,142.521,,TS1178,7.5,8.5
2007190272,-30.848,138.167,,TS0157,9.5,9.5
2007190273,-25.179,143.26,,TS1076,6,5.5
2007190274,-23.558,141.361,,TS1034,6,6.5
2007190275,-30.312,119.021,,TS0538,6.5,8.5
2007190276,-29.641,145.25,,TS1185,6,9.5
2007190278,-29.458,150.085,,TS1187,8,6
2007190279,-35.124,147.543,,TS1299,6,6
2007190281,-23.892,113.995,,TS0368,7.5,8
2007190282,-24.107,116.455,,TS0373,8,8
2007190283,-24.534,131.224,,TS0827,5,5
2007190284,-27.236,151.198,,TS1130,7.5,7.5
2007190285,-21.53,147.047,2007190406,TS0981,7.5,7.5
2007190286,-30.458,147.684,,TS1219,6.5,8.5
2007190287,-29.551,115.813,,TS0468,8.5,10
2007190288,-14.94,132.418,,TS0685,6,6
2007190289,-32.051,118.166,2007190071,TS0586,6,7.5
2007190290,-17.658,133.542,,TS0725,6,6.5
2007190291,-14.053,135.867,,TS0664,6,6
2007190292,-25.223,118.988,,TS0407,8.5,8.5
2007190293,-24.312,145.203,,TS1057,6,6.5
2007190294,-26.931,133.83,,TS0108,5,4.5
2007190296,-19.922,132.597,2007190758,TS0773,6.5,6.5
2007190298,-25.056,140.179,,TS1077,6.5,7
2007190299,-28.568,144.259,,TS1143,6,9
2007190301,-14.681,134.575,,TS0675,6.5,6
2007190302,-33.888,119.864,,TS0618,6.5,6.5
2007190303,-23.653,151.054,,TS1039,6,7
2007190304,-27.355,115.901,,TS0507,6.5,9
2007190305,-21.291,116.148,,TS0295,8,8.5
2007190307,-16.434,143.804,,TS0891,6.5,5.5
2007190308,-19.478,135.288,,TS0752,5.5,5.5
2007190309,-23.376,117.039,,TS0350,7.5,7.5
2007190310,-20.204,121.314,,TS0269,5.5,6.5
2007190311,-30.539,115.226,2007191259,TS0542,7,8
2007190312,-25.601,142.79,,TS1088,6.5,6
2007190313,-13.825,130.726,,TS0661,6,6
2007190315,-20.326,119.306,,TS0275,7,8
2007190316,-28.837,114.826,,TS0444,6.5,9
2007190317,-17.373,124.028,,TS0221,7,7
2007190318,-15.156,144.343,,TS0882,7.5,7.5
2007190319,-42.447,145.538,,TS1384,4,4.5
2007190321,-18.005,137.451,,TS0727,6,5.5
2007190322,-17.407,143.8,,TS0908,7.5,7.5
2007190323,-12.814,132.745,,TS0651,4.5,4.5
2007190324,-31.737,124.448,,TS0585,8.5,8.5
2007190325,-38.354,142.496,,TS1322,6,5.5
2007190326,-29.449,137.746,,TS0167,9.5,9.5
2007190327,-26.127,118.294,,TS0473,8,5
2007190328,-18.716,121.93,2007191598,TS0244,6,6
2007190329,-27.097,135.508,,TS0104,7,7
2007190331,-31.224,139.653,,TS0154,9.5,9.5
2007190332,-20.667,117.954,,TS0278,6,7
2007190333,-13.153,130.541,,TS0658,5,5
2007190334,-30.313,145.619,,TS1208,7.5,8.5
2007190335,-32.692,145.157,2007190692,TS1251,8,9
2007190336,-23.173,120.02,,TS0346,6.5,6.5
2007190337,-18.662,134.848,,TS0746,6.5,6
2007190338,-27.048,140.68,,TS0184,6.5,6
2007190339,-22.444,119.664,,TS0329,7.5,8.5
2007190342,-25.147,116.934,2007190989,TS0404,7.5,8
2007190343,-12.555,143.159,,TS0865,6,6
2007190344,-23.034,141.738,,TS1013,8,7.5
2007190345,-11.298,132.304,,TS0635,4.5,5.5
2007190346,-30.077,147.562,,TS1197,8,9
2007190347,-21.063,137.979,,TS0786,5.5,6
2007190348,-17.593,143.186,,TS0913,5,4.5
2007190349,-20.857,120.689,2007191436,TS0282,6.5,7.5
2007190350,-37.081,140.794,,TS0119,5.5,6
2007190352,-38.698,145.882,2007190611,TS1327,4.5,4.5
2007190354,-19.449,121.582,,TS0249,8,8
2007190355,-28.693,120.942,2007191257,TS0437,8.5,8
2007190357,-15.045,135.21,2007190856,TS0684,5.5,5.5
2007190358,-33.86,150.349,,TS1278,4.5,4.5
2007190359,-12.91,131.668,,TS0647,4,4.5
2007190361,-32.167,125.361,2007191094,TS0582,8.5,9
2007190363,-23.496,129.036,,TS0814,5.5,4.5
2007190364,-34.17,142.994,,TS1287,10,10
2007190366,-31.062,152.801,,TS1218,6,6
2007190367,-17.947,140.181,,TS0916,7,6.5
2007190368,-33.02,149.281,,TS1253,5.5,8.5
2007190369,-17.982,137.968,,TS0735,5.5,5.5
2007190370,-20.705,118.293,,TS0277,7.5,7
